---,Category,DisplayName,BaseDamage,HeadshotMultiplier,LegMultiplier,FireRate,WeaponRange,MaxAmmo,ReloadTime,FireMode,AmmoType,BulletSpeed,BulletGravityScale,RecoilPitchMin,RecoilPitchMax,RecoilYawMin,RecoilYawMax,RecoilRecoverySpeed,ADSFOVMultiplier,bIsShotgun,PelletCount,SpreadAngle,ThrowForce,FuseTime,ExplosionDamage,ExplosionRadius,bIsSticky,StickyDamage,PickupStaticMesh,WeaponMesh1P,WeaponMesh3P,MeshScale,MeshRotation,MeshLocationOffset,MuzzleSocketName,ThrowableMesh,ThrowableMeshScale,ThrowableMeshRotation,WeaponIcon,AmmoIcon,MuzzleFlashFX,BulletTracerFX,ImpactFX,ExplosionFX,FireSound,ReloadSound,EmptySound,ExplosionSound,FireAnimation1P,ReloadAnimation1P,FireAnimation3P,ReloadAnimation3P,BurstShotCount,BurstInterval,bIsIncendiary,FireZoneDuration,FireZoneTickInterval,FireZoneClass,ThrowableGravityScale,ThrowableBounciness,EquipSound,ThrowSound,Notes,ProjectileClass,BulletImpactDecal,BulletImpactFX,BulletImpactSound,BloodImpactFX,BloodImpactSound,BulletDecalSize,BulletDecalLifeSpan,SpreadPattern,FireFX,ShockFX,FireZoneDamagePerTick,FireZoneExtent,PickupAmmoCount
Repeater3030,Sniper,30-30 Repeater,42,2,0.75,0.5,8000,6,2.4,Semi,Heavy,32000,0.3,-0.7,-1,-0.2,0.2,4.5,0.6,FALSE,0,0,0,0,0,0,FALSE,0,,/Game/OJJ/Gun/30-30-repeater-void-impulse/source/Apex_Legends_30-30_Repeater_Void_Impulse_Reactive.Apex_Legends_30-30_Repeater_Void_Impulse_Reactive,/Game/OJJ/Gun/30-30-repeater-void-impulse/source/Apex_Legends_30-30_Repeater_Void_Impulse_Reactive.Apex_Legends_30-30_Repeater_Void_Impulse_Reactive,"(X=0.030000,Y=0.030000,Z=0.030000)","(Pitch=11.310236,Yaw=116.880075,Roll=-13.599437)","(X=-29.191677,Y=-7.277457,Z=-2.142758)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_Repeater3030.WeaponIcon_Repeater3030',/Script/Engine.Texture2D'/Game/OJJ/UI/AmmoIcons/AmmoIcon_Sniper.AmmoIcon_Sniper',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_MuzzleFlash_Generic.NS_MuzzleFlash_Generic',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_BulletTracer.NS_BulletTracer',,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Repeater3030_Fire.Repeater3030_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Repeater3030_Re.Repeater3030_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Repeater3030_St.Repeater3030_St',,마크스맨 / 레버액션,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
Longbow,Sniper,Longbow DMR,55,2.15,0.8,1.5,10000,6,2.66,Semi,Heavy,40000,0.15,-1,-1.5,-0.4,0.4,3,0.4,FALSE,0,0,0,0,0,0,FALSE,0,,/Game/OJJ/Gun/longbow-dmr/source/Apex_Legends_Longbow_DMR.Apex_Legends_Longbow_DMR,/Game/OJJ/Gun/longbow-dmr/source/Apex_Legends_Longbow_DMR.Apex_Legends_Longbow_DMR,"(X=0.030000,Y=0.030000,Z=0.030000)","(Pitch=11.310236,Yaw=116.880075,Roll=-13.599437)","(X=-36.081920,Y=-9.185369,Z=-1.127702)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_Longbow.WeaponIcon_Longbow',/Script/Engine.Texture2D'/Game/OJJ/UI/AmmoIcons/AmmoIcon_Sniper.AmmoIcon_Sniper',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_MuzzleFlash_Generic.NS_MuzzleFlash_Generic',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_BulletTracer.NS_BulletTracer',,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Longbow_Fire.Longbow_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Longbow_Re.Longbow_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Longbow_St.Longbow_St',,저격 / 반자동,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
Peacekeeper,Shotgun,Peacekeeper,11,2,0.75,1,5000,6,2.5,Pump,Shotgun,20000,0.5,-0.8,-1.2,-0.3,0.3,3,0.7,TRUE,8,5,0,0,0,0,FALSE,0,,/Game/OJJ/Gun/source/Apex_Legends_Peacekeeper_Shotgun.Apex_Legends_Peacekeeper_Shotgun,/Game/OJJ/Gun/source/Apex_Legends_Peacekeeper_Shotgun.Apex_Legends_Peacekeeper_Shotgun,"(X=0.030000,Y=0.030000,Z=0.030000)","(Pitch=11.310236,Yaw=116.880075,Roll=-13.599437)","(X=-15.499708,Y=-3.682616,Z=-9.199747)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_Peacekeeper.WeaponIcon_Peacekeeper',/Script/Engine.Texture2D'/Game/OJJ/UI/AmmoIcons/AmmoIcon_Shotgun.AmmoIcon_Shotgun',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_MuzzleFlash_Shotgun.NS_MuzzleFlash_Shotgun',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_BulletTracer.NS_BulletTracer',,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Peacekeeper_Fire.Peacekeeper_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Peacekeeper_Re.Peacekeeper_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Peacekeeper_St.Peacekeeper_St',,샷건 / 펌프액션,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Circular,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
Mastiff,Shotgun,Mastiff Shotgun,13,2,0.75,0.45,5000,6,2.6,Semi,Shotgun,22000,0.5,-0.7,-1,-0.25,0.25,3.5,0.7,TRUE,8,4,0,0,0,0,FALSE,0,,/Game/OJJ/Gun/mastiff-shotgun/source/Apex_Legends_Mastiff_Shotgun.Apex_Legends_Mastiff_Shotgun,/Game/OJJ/Gun/mastiff-shotgun/source/Apex_Legends_Mastiff_Shotgun.Apex_Legends_Mastiff_Shotgun,"(X=0.030000,Y=0.030000,Z=0.030000)","(Pitch=11.310236,Yaw=116.880075,Roll=-13.599437)","(X=-43.666051,Y=-20.802352,Z=-1.599234)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_Mastiff.WeaponIcon_Mastiff',/Script/Engine.Texture2D'/Game/OJJ/UI/AmmoIcons/AmmoIcon_Shotgun.AmmoIcon_Shotgun',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_MuzzleFlash_Shotgun.NS_MuzzleFlash_Shotgun',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_BulletTracer.NS_BulletTracer',,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Mastiff_Fire.Mastiff_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Mastiff_Re.Mastiff_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Mastiff_St.Mastiff_St',,샷건 / 반자동,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Horizontal,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
EVA8,Shotgun,EVA-8 Auto,7,2,0.75,0.5,5000,8,2.4,Auto,Shotgun,20000,0.5,-0.5,-0.8,-0.2,0.2,4,0.7,TRUE,9,5.5,0,0,0,0,FALSE,0,,/Game/OJJ/Gun/eva-8-auto-shotgun/source/Apex_Legends_EVA-8_Auto_Shotgun.Apex_Legends_EVA-8_Auto_Shotgun,/Game/OJJ/Gun/eva-8-auto-shotgun/source/Apex_Legends_EVA-8_Auto_Shotgun.Apex_Legends_EVA-8_Auto_Shotgun,"(X=0.030000,Y=0.030000,Z=0.030000)","(Pitch=11.310236,Yaw=116.880075,Roll=-13.599437)","(X=-32.887441,Y=-8.646669,Z=-13.618278)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_EVA8.WeaponIcon_EVA8',/Script/Engine.Texture2D'/Game/OJJ/UI/AmmoIcons/AmmoIcon_Shotgun.AmmoIcon_Shotgun',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_MuzzleFlash_Shotgun.NS_MuzzleFlash_Shotgun',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_BulletTracer.NS_BulletTracer',,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/EVA8_Fire.EVA8_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/EVA8_Re.EVA8_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/EVA8_St.EVA8_St',,샷건 / 풀오토,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Circular,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
Wingman,Pistol,Wingman,18,2,0.75,0.15,5000,12,1.5,Semi,Light,25000,0.4,-0.5,-0.8,-0.2,0.2,4,0.7,FALSE,0,0,0,0,0,0,FALSE,0,,/Game/OJJ/Gun/source/Apex_Legends_Wingman_Pistol.Apex_Legends_Wingman_Pistol,/Game/OJJ/Gun/source/Apex_Legends_Wingman_Pistol.Apex_Legends_Wingman_Pistol,"(X=0.030000,Y=0.030000,Z=0.030000)","(Pitch=11.310236,Yaw=116.880075,Roll=-13.599437)","(X=-20.179567,Y=-4.417392,Z=-2.770431)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_Wingman.WeaponIcon_Wingman',/Script/Engine.Texture2D'/Game/OJJ/UI/AmmoIcons/AmmoIcon_Sniper.AmmoIcon_Sniper',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_MuzzleFlash_Generic.NS_MuzzleFlash_Generic',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_BulletTracer.NS_BulletTracer',,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/Wingman_Fire.Wingman_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/Wingman_Re.Wingman_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/Wingman_St.Wingman_St',,권총 / 리볼버,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
P2020,Pistol,P2020,15,2,0.75,0.15,5000,10,1.25,Semi,Light,24000,0.4,-0.2,-0.4,-0.1,0.1,6,0.7,FALSE,0,0,0,0,0,0,FALSE,0,,/Game/OJJ/Gun/mastiff-shotgun/source/Apex_Legends_P2020_Pistol.Apex_Legends_P2020_Pistol,/Game/OJJ/Gun/mastiff-shotgun/source/Apex_Legends_P2020_Pistol.Apex_Legends_P2020_Pistol,"(X=0.030000,Y=0.030000,Z=0.030000)","(Pitch=11.310236,Yaw=116.880075,Roll=-13.599437)","(X=-18.573299,Y=-4.619658,Z=-7.721192)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_P2020.WeaponIcon_P2020',/Script/Engine.Texture2D'/Game/OJJ/UI/AmmoIcons/AmmoIcon_Light.AmmoIcon_Light',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_MuzzleFlash_Generic.NS_MuzzleFlash_Generic',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_BulletTracer.NS_BulletTracer',,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/P2020_Fire.P2020_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/P2020_Re.P2020_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/P2020_St.P2020_St',,권총 / 기본 반자동,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
RE45,Pistol,RE-45 Auto,12,2,0.75,0.09,5000,16,1.5,Auto,Light,25000,0.4,-0.3,-0.55,-0.15,0.15,5,0.7,FALSE,0,0,0,0,0,0,FALSE,0,,/Game/OJJ/Gun/re-45-auto-pistol/source/Apex_Legends_RE-45_Auto_Pistol.Apex_Legends_RE-45_Auto_Pistol,/Game/OJJ/Gun/re-45-auto-pistol/source/Apex_Legends_RE-45_Auto_Pistol.Apex_Legends_RE-45_Auto_Pistol,"(X=0.030000,Y=0.030000,Z=0.030000)","(Pitch=11.310236,Yaw=116.880075,Roll=-13.599437)","(X=-20.426088,Y=-4.634678,Z=-14.551594)",MuzzleSocket,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_RE45.WeaponIcon_RE45',/Script/Engine.Texture2D'/Game/OJJ/UI/AmmoIcons/AmmoIcon_Light.AmmoIcon_Light',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_MuzzleFlash_Generic.NS_MuzzleFlash_Generic',/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_BulletTracer.NS_BulletTracer',,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Fire/RE45_Fire.RE45_Fire',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Reload/RE45_Re.RE45_Re',,None,,,,,3,0.06,FALSE,0,0,,1,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Firearm/Equip/RE45_St.RE45_St',,권총 / 풀오토,/Game/OJJ/BP/BP_BulletProjectile.BP_BulletProjectile_C,/Script/Engine.MaterialInterface'/Game/OJJ/Materials/M_BulletHole.M_BulletHole',,,,,"(X=8.000000,Y=8.000000,Z=8.000000)",15,Random,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
FragGrenade,Throwable,Frag Grenade,80,1,1,0,0,0,0,Auto,Light,0,0,0,0,0,0,0,1,FALSE,0,0,3200,2,80,500,FALSE,0,,None,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",None,/Game/OJJ/Gun/source/HaloFragbyAbiSV.HaloFragbyAbiSV,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=0,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_FragGrenade.WeaponIcon_FragGrenade',,None,None,None,/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_FragExplosion.NS_FragExplosion',None,None,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Explosion/FragGrenade_Boom.FragGrenade_Boom',None,None,None,None,0,0,FALSE,0,0,,2,0.3,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Equip/FragGrenade_St.FragGrenade_St',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Throw/FragGrenade_Throw.FragGrenade_Throw',투척 / 프래그,,,,,,,,,Random,,,0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
Thermite,Throwable,Thermite Grenade,20,1,1,0,0,0,0,Auto,Light,0,0,0,0,0,0,0,1,FALSE,0,0,3200,3,0,400,FALSE,0,,None,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",None,/Game/OJJ/Gun/thermite-grenade/source/Thermite_Grenade_2.Thermite_Grenade_2,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=0,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_Thermite.WeaponIcon_Thermite',,None,None,None,/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_FragExplosion.NS_FragExplosion',None,None,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Explosion/Thermite_Boom.Thermite_Boom',None,None,None,None,0,0,TRUE,5,0.5,,2,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Equip/Thermite_St.Thermite_St',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Throw/Thermite_Throw.Thermite_Throw',투척 / 지속 화염,,,,,,,,,Random,/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_ThermiteFire.NS_ThermiteFire',,5,"(X=100.000000,Y=500.000000,Z=100.000000)",0
ArcStar,Throwable,Arc Star,60,1,1,0,0,0,0,Auto,Light,0,0,0,0,0,0,0,1,FALSE,0,0,3200,3,60,400,TRUE,10,,None,None,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=-90,Roll=0)","(X=180.0,Y=40.0,Z=0.0)",None,/Game/OJJ/Gun/source/Shuriken_low.Shuriken_low,"(X=0.04,Y=0.04,Z=0.04)","(Pitch=0,Yaw=0,Roll=0)",/Script/Engine.Texture2D'/Game/OJJ/UI/WeaponIcons/WeaponIcon_ArcStar.WeaponIcon_ArcStar',,None,None,None,/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_FragExplosion.NS_FragExplosion',None,None,None,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Explosion/ArcStar_Boom.ArcStar_Boom',None,None,None,None,0,0,FALSE,0,0,,1.5,0,/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Equip/ArcStar_St.ArcStar_St',/Script/Engine.SoundWave'/Game/OJJ/Sounds/Throwable/Throw/ArcStar_Throw.ArcStar_Throw',투척 / 부착식,,,,,,,,,Random,,/Script/Niagara.NiagaraSystem'/Game/OJJ/VFX/NS_ArcStarShock.NS_ArcStarShock',0,"(X=0.000000,Y=0.000000,Z=0.000000)",0
AmmoLight,Ammo,Light Ammo,,,,,,60,,,Light,,,,,,,,,,,,,,,,,,/Game/OJJ/Bullet/source/SM_AmmoLight.SM_AmmoLight,,,"(X=2,Y=2,Z=2)","(X=2,Y=2,Z=2)","(X=2,Y=2,Z=2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
AmmoHeavy,Ammo,Heavy Ammo,,,,,,60,,,Heavy,,,,,,,,,,,,,,,,,,/Game/OJJ/Bullet/source/SM_AmmoHeavy.SM_AmmoHeavy,,,"(X=2,Y=2,Z=2)","(X=2,Y=2,Z=2)","(X=2,Y=2,Z=2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
AmmoEnergy,Ammo,Energy Ammo,,,,,,60,,,Energy,,,,,,,,,,,,,,,,,,/Game/OJJ/Bullet/source/SM_AmmoEnergy.SM_AmmoEnergy,,,"(X=2,Y=2,Z=2)","(X=2,Y=2,Z=2)","(X=2,Y=2,Z=2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
AmmoShotgun,Ammo,Shotgun Ammo,,,,,,16,,,Shotgun,,,,,,,,,,,,,,,,,,/Game/OJJ/Bullet/source/SM_AmmoShotgun.SM_AmmoShotgun,,,"(X=2,Y=2,Z=2)","(X=2,Y=2,Z=2)","(X=2,Y=2,Z=2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
